,Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes
5780,Gone Fishin',PG,1997,19.74,"Comedy,Crime",94,4.8,9664.0
5781,Gone Girl,R,2014,167.77,"Drama,Mystery,Thriller",149,8.1,894045.0
5782,Gone in 60 Seconds,PG-13,2000,101.65,"Action,Crime,Thriller",118,6.5,265750.0
5783,Gonzo,R,2008,1.25,"Documentary,Biography,Music",120,7.7,7689.0
5784,Good Advice,R,2001,0.0,"Comedy,Romance",93,6.2,0.0
5785,Good Boy,PG,2003,37.57,"Comedy,Drama,Family",87,5.1,4186.0
5786,Good Boys,R,2019,69.06,"Adventure,Comedy",90,6.7,66095.0
5787,Good Burger,PG,1997,23.69,"Comedy,Family",95,5.7,27353.0
5788,Good Charlotte Live at Brixton Academy,G,2004,0.0,Music,68,7.6,0.0
5789,Good Day for It,R,2011,0.0,"Crime,Thriller",93,5.6,0.0
5790,Good Deeds,PG-13,2012,35.03,"Comedy,Drama,Romance",110,5.6,7560.0
5791,Good Dick,R,2008,0.02,"Comedy,Drama,Romance",86,6.4,7869.0
5792,Good Fences,R,2003,0.0,"Comedy,Drama",119,5.5,0.0
5793,Good Fortune,PG,2016,0.0,"Documentary,Biography,Family",86,7.7,0.0
5794,Good Hair,PG-13,2009,4.16,"Documentary,Comedy",96,6.9,5741.0
5795,Better Housekeeping,R,2000,0.0,Comedy,90,6.8,0.0
5796,Good Intentions,PG-13,2010,0.0,Comedy,84,5.2,0.0
5797,Joe Bell,R,2020,0.0,"Biography,Drama",90,5.4,0.0
5798,Good Kids,R,2016,0.0,"Comedy,Drama",86,6.1,0.0
5799,Good Kill,R,2014,0.32,"Drama,Thriller,War",102,6.4,23040.0
5800,Good Luck,R,1996,0.04,"Comedy,Drama",92,6.3,503.0
5801,Good Luck Chuck,R,2007,34.93,"Comedy,Romance",96,5.6,86911.0
5802,"Good Night, and Good Luck.",PG,2005,31.5,"Biography,Drama,History",93,7.4,95383.0
