Title,Movie Rating,Year,Gross Income in millions (USD),Movie Genre,Movie Runtime,IMDb Rating,Votes,Budget in millions (USD),Profit percent
A Simple Favor,R,2018,53.55,"Comedy,Crime,Mystery",117,6.8,136481.0,20.0,167.74999999999997
A Simple Plan,R,1998,16.31,"Crime,Drama,Thriller",121,7.5,66068.0,17.0,-4.0588235294117725
A Simple Plan,R,1998,16.31,"Crime,Drama,Thriller",121,7.5,66099.0,17.0,-4.0588235294117725
A Simple Wish,PG,1997,8.12,"Comedy,Family,Fantasy",89,5.4,5271.0,28.0,-71.00000000000001
A Simple Wish,PG,1997,8.12,"Comedy,Family,Fantasy",89,5.4,5278.0,28.0,-71.00000000000001
A Single Man,R,2009,9.17,"Drama,Romance",99,7.5,108222.0,7.0,31.0
A Single Man,R,2009,9.17,"Drama,Romance",99,7.5,108247.0,7.0,31.0
A Sound of Thunder,PG-13,2005,1.89,"Action,Adventure,Horror",110,4.2,19147.0,80.0,-97.6375
A Sound of Thunder,PG-13,2005,1.89,"Action,Adventure,Horror",110,4.2,19154.0,80.0,-97.6375
A Thousand Words,PG-13,2012,18.44,"Comedy,Drama",91,5.9,41301.0,40.0,-53.89999999999999
A Thousand Words,PG-13,2012,18.44,"Comedy,Drama",91,5.9,41308.0,40.0,-53.89999999999999
A Time to Kill,R,1996,108.77,"Crime,Drama,Thriller",149,7.5,138555.0,40.0,171.92499999999998
A Time to Kill,R,1996,108.77,"Crime,Drama,Thriller",149,7.5,138587.0,40.0,171.92499999999998
A Walk Among the Tombstones,R,2014,26.31,"Action,Crime,Drama",114,6.5,115232.0,28.0,-6.03571428571429
A Walk Among the Tombstones,R,2014,26.31,"Action,Crime,Drama",114,6.5,115247.0,28.0,-6.03571428571429
A Walk in the Woods,R,2015,29.47,"Adventure,Biography,Comedy",104,6.4,25761.0,8.0,268.375
A Walk in the Woods,R,2015,29.47,"Adventure,Biography,Comedy",104,6.4,25772.0,8.0,268.375
A Walk on the Moon,R,1999,4.74,"Drama,Romance",107,6.6,8202.0,14.0,-66.14285714285714
A Walk on the Moon,R,1999,4.74,"Drama,Romance",107,6.6,8212.0,14.0,-66.14285714285714
A Walk to Remember,PG,2002,41.23,"Drama,Romance",101,7.3,203113.0,11.0,274.8181818181818
A Walk to Remember,PG,2002,41.23,"Drama,Romance",101,7.3,203143.0,11.0,274.8181818181818
A Wrinkle in Time,PG,2018,100.48,"Adventure,Family,Fantasy",109,4.2,42462.0,103.0,-2.4466019417475686
A Wrinkle in Time,PG,2018,100.48,"Adventure,Family,Fantasy",109,4.2,42468.0,103.0,-2.4466019417475686
ATL,PG-13,2006,21.16,"Comedy,Crime,Drama",105,6.2,10970.0,17.0,24.47058823529412
ATL,PG-13,2006,21.16,"Comedy,Crime,Drama",105,6.2,10982.0,17.0,24.47058823529412
Abandon,PG-13,2002,10.73,"Drama,Mystery,Romance",99,4.9,9461.0,25.0,-57.08
Abandon,PG-13,2002,10.73,"Drama,Mystery,Romance",99,4.9,9473.0,25.0,-57.08
Abduction,PG-13,2011,28.09,"Action,Mystery,Thriller",106,5.1,77998.0,35.0,-19.742857142857144
Abduction,PG-13,2011,28.09,"Action,Mystery,Thriller",106,5.1,78016.0,35.0,-19.742857142857144
About Last Night,R,2014,48.64,"Comedy,Romance",100,6.1,23163.0,13.0,274.15384615384613
About Last Night,R,2014,48.64,"Comedy,Romance",100,6.1,23168.0,13.0,274.15384615384613
About Schmidt,R,2002,65.02,"Comedy,Drama",125,7.1,125380.0,30.0,116.7333333333333
About Schmidt,R,2002,65.02,"Comedy,Drama",125,7.1,125565.0,30.0,116.7333333333333
About Time,R,2013,15.32,"Comedy,Drama,Fantasy",123,7.8,317647.0,12.0,27.666666666666668
About Time,R,2013,15.32,"Comedy,Drama,Fantasy",123,7.8,317715.0,12.0,27.666666666666668
About a Boy,PG-13,2002,41.39,"Comedy,Drama,Romance",101,7.1,177226.0,27.0,53.2962962962963
About a Boy,PG-13,2002,41.39,"Comedy,Drama,Romance",101,7.1,177400.0,27.0,53.2962962962963
Abraham Lincoln: Vampire Hunter,R,2012,37.52,"Action,Fantasy,Horror",105,5.9,151254.0,67.5,-44.41481481481481
Abraham Lincoln: Vampire Hunter,R,2012,37.52,"Action,Fantasy,Horror",105,5.9,151273.0,67.5,-44.41481481481481
Absentia,R,2011,22.53,"Drama,Horror,Mystery",87,5.8,51491.0,0.07,-100.0
Absentia,R,2011,22.53,"Drama,Horror,Mystery",87,5.8,51491.0,0.07,-100.0
Absolute Power,R,1997,50.01,"Action,Crime,Drama",121,6.7,51940.0,50.0,0.01999999999999602
Absolute Power,R,1997,50.01,"Action,Crime,Drama",121,6.7,51956.0,50.0,0.01999999999999602
Accidental Love,PG-13,2015,22.53,"Comedy,Romance",100,4.1,51491.0,26.0,-100.0
Accidental Love,PG-13,2015,22.53,"Comedy,Romance",100,4.1,51491.0,26.0,-100.0
Ace Ventura: Pet Detective,PG-13,1994,72.22,Comedy,86,6.9,284231.0,12.0,501.83333333333337
Ace Ventura: Pet Detective,PG-13,1994,72.22,Comedy,86,6.9,284274.0,12.0,501.83333333333337
Ace Ventura: When Nature Calls,PG-13,1995,108.39,"Adventure,Comedy,Crime",90,6.4,206738.0,30.0,261.3
Ace Ventura: When Nature Calls,PG-13,1995,108.39,"Adventure,Comedy,Crime",90,6.4,206771.0,30.0,261.3
Acrimony,R,2018,43.55,Thriller,120,5.8,8207.0,20.0,117.74999999999997
Acrimony,R,2018,43.55,Thriller,120,5.8,8211.0,20.0,117.74999999999997
Across the Universe,PG-13,2007,24.34,"Drama,Fantasy,History",133,7.3,107462.0,45.0,-45.91111111111111
Across the Universe,PG-13,2007,24.34,"Drama,Fantasy,History",133,7.3,107476.0,45.0,-45.91111111111111
Act of Valor,R,2012,70.01,"Action,Adventure,Thriller",110,6.5,67328.0,12.0,483.41666666666674
Act of Valor,R,2012,70.01,"Action,Adventure,Thriller",110,6.5,67344.0,12.0,483.41666666666674
Action Point,R,2018,5.06,Comedy,85,5.1,10565.0,19.0,-73.36842105263159
Action Point,R,2018,5.06,Comedy,85,5.1,10567.0,19.0,-73.36842105263159
Ad Astra,PG-13,2019,35.4,"Adventure,Drama,Mystery",123,6.5,208430.0,49.8,-28.915662650602407
Ad Astra,PG-13,2019,35.4,"Adventure,Drama,Mystery",123,6.5,208475.0,49.8,-28.915662650602407
